Dialogue (kr),Dialogue (en)
가서 무기란 무기는 다 가져와라!!,Go get all the WEAPONS!!!
수리 중인 장비들이 모두 사라졌어어어어어엉,All the equipment being repaired is GOOOOOOOONE~~
내 장비가 사라졌어....,My equipment is gone…
난 이제 끝이야...,I’m finished…
내 모든 마법 도구가 사라졌어;;,All my magical tools have disappeared;;
상점가가 모두 도둑한테 털렸나봐!,It seems the market was completely robbed by thieves!
오랜만이다.. APO,It’s been a while… APO
뭐여!?,What!?
가게 꼬라지가 왜이래?,Why does my store look like this?
하하.. 내 무기만 남아있다면.. 괜찮아..!,Haha… as long as I have my weapon… it’s fine..!
말도 안돼!!!,Unbelievable!!!
나의 최강 무기 3자루가 사라지다니..,My three strongest weapons are gone…
"무기를 되찾고 싶나!? (^.^)

그렇다면 
빙꽁 얼음 산맥으로 와라",Do you want to retrieve the weapons!? (^.^) Then come to the BingChiling Ice Mountain
"숲과 사막을 지나면,","After passing through the forest and the desert,"
얼음 산맥이 나올 거야, you’ll find the Ice Mountain
"최근 갑자기 마물들이 난폭해 졌다는데,","I’ve heard that monsters have become violent lately, "
조심 해야겠어..,so be careful…
특정 슬라임은 액체를 발사합니다. 조심하세요.,Trigger-specific slimes shoot liquid. Watch out.
까악! 까악!,Caw! Caw!
더블 점프를 못해서 사망..ㅠㅠ,Died because I couldn’t double jump..OTL
살다보면 떨어질 때도 있는 법,"Sometimes in life, you fall"
보라색 마나를 다 모으면 W키로 체력을 회복할 수 있다.,"If you collect all the purple mana, you can press W to recover your health."
저는 착한 몬스터입니다. 때리지 말아주세요,I’m a good monster. Please don’t hit me.
아이고..!!!,Oh no..!!!
뭐가 이렇게 무거워...??,Why is this so heavy…??
이 앞으로는 못 지나가.,You can’t pass beyond this point.
왜 내 앞을 막는거지?,Why is he blocking my way?
무기를 가져갈 자격이 있는지...,To see if you’re worthy of taking the weapon…
내가 확인하겠다.,I will confirm it.
나머지 무기들은 어디에 있지?,Where are the rest of the weapons?
지금쯤 사막을 지나고 있겠군...,You must be crossing the desert by now…
내 무기들을 가지고 어디로 가는거야?,Where are you taking my weapons?
이 길의 끝에서 알게 될거야,You’ll find out at the end of this path.
검을 되찾으니 그 때의  기억이...,"When I retrieved the sword, it reminded me of that time…"
내 힘이 담긴 마나를 통해...,Through the mana that holds my power… 
우클릭을 하면 특수한 공격이 가능했지,"if I right-click, a special attack is possible"
마나를 3개 모으고 나면 어떻게 되더라?,What happens if I gather three mana orbs?
이봐!,Hey! 
빨간 총알은 튕겨낼 수 있다고!~,Red bullets can be deflected!~
저한테 마우스를 조준하고 패링 연습을 해보세요!,Try aiming the mouse at me and practicing parrying!
어느 정도 연습했다면 오른쪽으로 나가자.,"Once you’ve practiced enough, let’s move to the right."
으으윽...,Ugh…
몬스터가 공격하려는 타이밍에 때렸다면...,If you hit at the timing when the monster is about to attack…
끔찍한 광경이군.,What a terrible sight.
드디어 오셨군! 무기상 나으리,"Finally, you’re here! My dear weapon merchant"
기다리느라 목이 빠지는 줄 알았다고,I almost got a stiff neck waiting for you
이미 한바탕 한 모양인데?,Looks like you’ve already had a battle?
뭐.......,Well…
네가 오기 전에 재미 좀 봤지.,I had some fun before you arrived.
통성명은 됐고..,No need for introductions…
바로 붙어보자고!!,Let’s get right to it!!
졌수다 졌수다,"I lost, I lost"
이게 무기상의 실력이라니,Is this really the skill of a weapon merchant?
믿기지가 않는군,I can’t believe it
누군가한테 사주를 받은 건가?,Did someone put you up to this?
그건.......,That is…
나도 잘 모르겠는 걸?,I don’t really know either?
하지만 요즘 성 쪽이 시끄럽다는 건 알지.,But I know things have been noisy around the castle lately.
설마...?!,Could it be…?!
총은 움직이면서 공격이 가능해,You can attack while moving with the gun
하지만 몇번 쏘면 장전을 해줘야 하지.,But you need to reload after a few shots.
또 이제 무기가 2개 이상이니까,Now that you have more than two weapons
연계 스킬을 사용 할 수 있어,You can use combo skills
공격하는 잠깐의 타이밍에 무기 교체를 해주면?,If you switch weapons at the moment of attack?
연계 스킬이 나가니까 적재적소에 활용해야 해,"You can use combo skills, so you need to utilize them appropriately"
이제 거의 다 왔어,We’re almost there
하지만 뭔가 수상한데,But something feels off
단단한 얼음은 총알로는 부술 수 없다.,Solid ice cannot be broken with bullets.
사람 진짜 힘들게 하네,You’re really making things tough for me
나한테 도대체 왜 이러는 거야?,Why are you doing this to me?
ㅋㅋ 어때 정신이 들어?,"Haha, do you feel more alert now?"
이 짓도 이제 슬슬 끝내볼까?,Shall we end this here?
망치 획득!!,Hammer obtained!!
드디어 무기를 다 되찾았군 그래,"Finally, I got all my weapons back"
너희가 무기를 훔쳐간 이유…,The reason you stole my weapons…
수상한 점이 한 둘이 아니야,There are too many suspicious points
솔직히 말해. 진짜 목적이 뭐지?,Be honest. What’s your real goal?
지금… 이 뒤쪽 성 아래에서 뭔가가 깨어나고 있어,Now… something is awakening below this castle
세 무기의 힘을 다룰 수 있는 용사만이,Only a hero who can wield the power of these three weapons
그걸 막을 수 있다고 하더군.,"Can stop it, they said."
네가 그 과거의 용사였어.,You were that hero from the past.
그래…...,Yes…
무기를 훔친 건 이걸 위해서…,I stole the weapons for this…
하지만,But
내가 싸우기 싫다면 어떻게 할거지?,What if I don’t want to fight?
부탁이야… 미쳐버린 왕을 막아줘,Please… stop the mad king
APO… 너의 힘으로..,APO… with your power…
조용히 살아가는 것도 끝이군…,Quietly living is now over…
드디어 모든 무기가 모였어!,"Finally, I gathered all the weapons!"
망치는 느리지만 강한 공격이 가능해,The hammer is slow but can deal strong attacks
연계 스킬을 충분히 연습해보고 가자,Let’s practice combo skills thoroughly before moving on
누구냐! 신원을 밝혀라!,Who are you! Reveal your identity!
저는 평범한 상인입니다.,I am just an ordinary merchant.
왕을 좀 만나려는데요.,I want to meet the king.
지금은 성에 아무도 들어갈 수 없다.,No one can enter the castle right now.
그렇구나 ㅎㅎ;;..,"I see, haha…"
그렇다면…,In that case…
무지성의 호흡 제 1형,First form of the reckless breath
그냥 돌진,Just charge
…. 많기도 하네,… There are so many
침입자를 막아라!!!,Stop the intruder!!!
음… 누구인가?,Hmm… Who is it?
내가 분명히 성 안으로...,I definitely entered the castle…
..? 네가 어떻게 여기에?,..? How did you get here?
설마 나의 기사들을 전부 쓰러뜨린 건가?,Did you defeat all my knights?
쳇..! 기사들도 쓸모가 없군..,Tsk..! Knights are useless…
"성 지하에 있는 ""그걸"" 깨운다고?",You plan to awaken “that” in the basement of the castle?
세상을 멸망시킬 셈인가?,Do you intend to destroy the world?
멸망이라니,Destroy?
어찌 그런 무서운 말을 하시나..?,How could you say such a scary thing..?
난 더럽혀진 이 세계를 청소하려는 것 뿐이야,I just intend to clean this tainted world
그리고....,And…
이왕이면 혁명이라는 멋진 단어를 씁시다.,Let’s use the splendid word revolution.
역시 지금 너를 제거 해야겠다.,"Indeed, I must remove you now."
그렇게 왕과의 싸움은 시작되었다.,"And so, the battle with the king began."
이후 치열한 공방이 오가며 싸움은 끝나게 되는데,"After intense exchanges, the battle ended"
"왕은 죽고, 모든게 끝났다 생각할때쯤.",When you think it’s all over with the king’s death.
왕은 부활했다.!,The king revived!
그리고 자신을 따라와보라며 도발하는데..,And taunted me to follow him…
잠깐 기다려…!,Wait a minute…!
설마 정말로 봉인을 풀 생각이냐!?,Do you really intend to break the seal!?
Yeah. 이제 이 봉인석만 뜯어내면 모든게 끝난다.,"Yeah. Once I remove this seal stone, everything will end."
흐흐흐…!!,Haha…!!
이제 이 세상은 끝이다.,"Now, this world is finished."
모두가 죽게 되겠지.,Everyone will die.
크하하하하핫,Kahahaha
끔찍한 시간이었다.,It was a terrible time.
하지만 봉인석도 이젠 사라졌지..!,But the seal stone is now gone..!
이번에야말로 이 대마왕 Glint님께서 손수 세상을 멸해주마..!!,"This time, I, the Great Demon Lord Glint, will personally destroy the world..!!"
오우 난 무시냐..?,"Oh, am I being ignored..?"
응..? 네놈은.. 그때의 그 용사인가..?!,Huh..? Are you.. that hero from that time..?!
그렇다.,Yes.
네 녀석... 이번엔 반드시 죽여주마..!!!,"You… this time, I will definitely kill you..!!!"
힘의 차이를 알려주지!!,I will show you the difference in power!!
으윽....,Ugh…
말도 안되는군,This can’t be
오랜 시간을 준비해 부활한 내가..,I prepared and revived over a long time…
어째서 지는 거냐..!?,Why am I losing..!?
지금의 나는 누구보다 강하니까,"Because now, I am stronger than anyone"
크흐흐.. 하지만 아직 싸움은 끝나지 않았다.,Hehe… but the fight isn’t over yet.
크하하 ..!! 그럼 죽어라!!,Haha…!! Then die!!
크흑… 여기까지인가…,Argh… Is this the end…
포기하지마!,Don’t give up!
우리들은 아직 지지 않았어.,We haven’t lost yet.
우리 셋의 힘을 하나로 모아,Let’s combine the power of the three of us
APO!! 녀석을 부숴버리자!!,APO!! Let’s destroy him!!
마우스 오른쪽 키를 눌러!,Press the right mouse button!
"Tri""Apo""wer!!!!","Tri""Apo""wer!!!!"
